source,members,n_members,train_n,train_mae,train_rmse,train_r2,train_accuracy_at_thresh,test_n,test_mae,test_rmse,test_r2,test_accuracy_at_thresh
ensemble,Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,5,163,0.11745878854062837,0.14411429711221663,0.9866784373622117,1.0,41,0.4095936429261233,0.5503772830542639,0.7810812645452252,0.7073170731707317
ensemble,Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso,7,163,0.11690282709426217,0.14688213966522648,0.98616181870245,1.0,41,0.38985932981387506,0.5505653913111044,0.7809315946358083,0.7560975609756098
ensemble,Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest + Molformer Embeddings__SVR_RBF,9,163,0.12554682858676305,0.15303649020971738,0.984977886840876,1.0,41,0.394265441783898,0.5507500754696063,0.7807845993813907,0.7073170731707317
ensemble,Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Molformer Embeddings__Lasso,6,163,0.1065719768526321,0.13312458247551995,0.9886326939558246,1.0,41,0.3923939916867528,0.5507574265485204,0.7807787474331646,0.7317073170731707
ensemble,Chemberta Embeddings__RandomForest + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso,7,163,0.13508753874783339,0.17049755606796857,0.9813543575605922,1.0,41,0.39932955784636986,0.5508449461630042,0.7807090699926038,0.7073170731707317
ensemble,Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,6,163,0.14082564735730072,0.17309234828868783,0.9807825050697203,1.0,41,0.3921255987625878,0.5509575192010385,0.7806194303621783,0.7073170731707317
ensemble,Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,8,163,0.13068759543944072,0.1623729385576315,0.9830890371207277,1.0,41,0.3927653572259147,0.5510189483284321,0.7805705078671947,0.7073170731707317
ensemble,Chemberta Embeddings__RandomForest + Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Fingerprints__GradientBoosting + Fingerprints__RandomForest + Molformer Embeddings__Lasso,6,163,0.15041892761055606,0.1887805320614911,0.977141093727188,1.0,41,0.3918709995100672,0.5512915796101759,0.7803533169939247,0.7317073170731707
ensemble,Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,7,163,0.12389363068974757,0.15200696636167457,0.9851793238014953,1.0,41,0.39571475964748,0.5513721388168786,0.7802891191863435,0.7073170731707317
ensemble,Chemberta Embeddings__RandomForest + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,7,163,0.16518356287269323,0.20768495615296909,0.9723336979751043,0.9754601226993865,41,0.4011069501519079,0.5514456976312369,0.7802304918135603,0.7073170731707317
